[19:41:45:954] [Windows] [EAC Launcher] [Info] Loaded the following settings .json file: 'E:\SteamLibrary\steamapps\common\ELDEN RING\Game\EasyAntiCheat\Settings.json'
[19:41:48:380] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:384] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:384] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:388] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:388] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:392] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:392] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:396] [Windows] [EAC Launcher] [Info] Current progress: 1 (114080/7841688).
[19:41:48:396] [Windows] [EAC Launcher] [Info] Current progress: 1 (114080/7841688).
[19:41:48:400] [Windows] [EAC Launcher] [Info] Current progress: 1 (114080/7841688).
[19:41:48:400] [Windows] [EAC Launcher] [Info] Current progress: 1 (114080/7841688).
[19:41:48:408] [Windows] [EAC Launcher] [Info] Current progress: 1 (130464/7841688).
[19:41:48:408] [Windows] [EAC Launcher] [Info] Current progress: 1 (130464/7841688).
[19:41:48:412] [Windows] [EAC Launcher] [Info] Current progress: 1 (146848/7841688).
[19:41:48:412] [Windows] [EAC Launcher] [Info] Current progress: 1 (146848/7841688).
[19:41:48:416] [Windows] [EAC Launcher] [Info] Current progress: 1 (146848/7841688).
[19:41:48:416] [Windows] [EAC Launcher] [Info] Current progress: 1 (146848/7841688).
[19:41:48:416] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:416] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:420] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:420] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:420] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:420] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:425] [Windows] [EAC Launcher] [Info] Current progress: 2 (179616/7841688).
[19:41:48:425] [Windows] [EAC Launcher] [Info] Current progress: 2 (179616/7841688).
[19:41:48:429] [Windows] [EAC Launcher] [Info] Current progress: 2 (196000/7841688).
[19:41:48:429] [Windows] [EAC Launcher] [Info] Current progress: 2 (196000/7841688).
[19:41:48:434] [Windows] [EAC Launcher] [Info] Current progress: 2 (212384/7841688).
[19:41:48:434] [Windows] [EAC Launcher] [Info] Current progress: 2 (212384/7841688).
[19:41:48:438] [Windows] [EAC Launcher] [Info] Current progress: 2 (228768/7841688).
[19:41:48:438] [Windows] [EAC Launcher] [Info] Current progress: 2 (228768/7841688).
[19:41:48:441] [Windows] [EAC Launcher] [Info] Current progress: 3 (245152/7841688).
[19:41:48:441] [Windows] [EAC Launcher] [Info] Current progress: 3 (245152/7841688).
[19:41:48:442] [Windows] [EAC Launcher] [Info] Current progress: 3 (261536/7841688).
[19:41:48:442] [Windows] [EAC Launcher] [Info] Current progress: 3 (261536/7841688).
[19:41:48:446] [Windows] [EAC Launcher] [Info] Current progress: 3 (261536/7841688).
[19:41:48:446] [Windows] [EAC Launcher] [Info] Current progress: 3 (261536/7841688).
[19:41:48:446] [Windows] [EAC Launcher] [Info] Current progress: 3 (277920/7841688).
[19:41:48:446] [Windows] [EAC Launcher] [Info] Current progress: 3 (277920/7841688).
[19:41:48:447] [Windows] [EAC Launcher] [Info] Current progress: 3 (277920/7841688).
[19:41:48:447] [Windows] [EAC Launcher] [Info] Current progress: 3 (277920/7841688).
[19:41:48:450] [Windows] [EAC Launcher] [Info] Current progress: 3 (294304/7841688).
[19:41:48:450] [Windows] [EAC Launcher] [Info] Current progress: 3 (294304/7841688).
[19:41:48:455] [Windows] [EAC Launcher] [Info] Current progress: 4 (343456/7841688).
[19:41:48:455] [Windows] [EAC Launcher] [Info] Current progress: 4 (343456/7841688).
[19:41:48:459] [Windows] [EAC Launcher] [Info] Current progress: 4 (359840/7841688).
[19:41:48:459] [Windows] [EAC Launcher] [Info] Current progress: 4 (359840/7841688).
[19:41:48:459] [Windows] [EAC Launcher] [Info] Current progress: 4 (359840/7841688).
[19:41:48:459] [Windows] [EAC Launcher] [Info] Current progress: 4 (359840/7841688).
[19:41:48:463] [Windows] [EAC Launcher] [Info] Current progress: 5 (408992/7841688).
[19:41:48:463] [Windows] [EAC Launcher] [Info] Current progress: 5 (408992/7841688).
[19:41:48:468] [Windows] [EAC Launcher] [Info] Current progress: 5 (441760/7841688).
[19:41:48:468] [Windows] [EAC Launcher] [Info] Current progress: 5 (441760/7841688).
[19:41:48:472] [Windows] [EAC Launcher] [Info] Current progress: 6 (490912/7841688).
[19:41:48:472] [Windows] [EAC Launcher] [Info] Current progress: 6 (490912/7841688).
[19:41:48:475] [Windows] [EAC Launcher] [Info] Current progress: 6 (523680/7841688).
[19:41:48:475] [Windows] [EAC Launcher] [Info] Current progress: 6 (523680/7841688).
[19:41:48:481] [Windows] [EAC Launcher] [Info] Current progress: 7 (572832/7841688).
[19:41:48:481] [Windows] [EAC Launcher] [Info] Current progress: 7 (572832/7841688).
[19:41:48:485] [Windows] [EAC Launcher] [Info] Current progress: 8 (638368/7841688).
[19:41:48:485] [Windows] [EAC Launcher] [Info] Current progress: 8 (638368/7841688).
[19:41:48:489] [Windows] [EAC Launcher] [Info] Current progress: 9 (720288/7841688).
[19:41:48:489] [Windows] [EAC Launcher] [Info] Current progress: 9 (720288/7841688).
[19:41:48:494] [Windows] [EAC Launcher] [Info] Current progress: 10 (785824/7841688).
[19:41:48:494] [Windows] [EAC Launcher] [Info] Current progress: 10 (785824/7841688).
[19:41:48:499] [Windows] [EAC Launcher] [Info] Current progress: 11 (884128/7841688).
[19:41:48:499] [Windows] [EAC Launcher] [Info] Current progress: 11 (884128/7841688).
[19:41:48:503] [Windows] [EAC Launcher] [Info] Current progress: 12 (998816/7841688).
[19:41:48:503] [Windows] [EAC Launcher] [Info] Current progress: 12 (998816/7841688).
[19:41:48:507] [Windows] [EAC Launcher] [Info] Current progress: 12 (1015200/7841688).
[19:41:48:507] [Windows] [EAC Launcher] [Info] Current progress: 12 (1015200/7841688).
[19:41:48:512] [Windows] [EAC Launcher] [Info] Current progress: 14 (1146272/7841688).
[19:41:48:512] [Windows] [EAC Launcher] [Info] Current progress: 14 (1146272/7841688).
[19:41:48:516] [Windows] [EAC Launcher] [Info] Current progress: 16 (1260960/7841688).
[19:41:48:516] [Windows] [EAC Launcher] [Info] Current progress: 16 (1260960/7841688).
[19:41:48:520] [Windows] [EAC Launcher] [Info] Current progress: 17 (1392032/7841688).
[19:41:48:520] [Windows] [EAC Launcher] [Info] Current progress: 17 (1392032/7841688).
[19:41:48:523] [Windows] [EAC Launcher] [Info] Current progress: 19 (1523104/7841688).
[19:41:48:523] [Windows] [EAC Launcher] [Info] Current progress: 19 (1523104/7841688).
[19:41:48:526] [Windows] [EAC Launcher] [Info] Current progress: 21 (1654176/7841688).
[19:41:48:526] [Windows] [EAC Launcher] [Info] Current progress: 21 (1654176/7841688).
[19:41:48:530] [Windows] [EAC Launcher] [Info] Current progress: 22 (1752480/7841688).
[19:41:48:530] [Windows] [EAC Launcher] [Info] Current progress: 22 (1752480/7841688).
[19:41:48:533] [Windows] [EAC Launcher] [Info] Current progress: 23 (1867168/7841688).
[19:41:48:533] [Windows] [EAC Launcher] [Info] Current progress: 23 (1867168/7841688).
[19:41:48:535] [Windows] [EAC Launcher] [Info] Current progress: 25 (1998240/7841688).
[19:41:48:535] [Windows] [EAC Launcher] [Info] Current progress: 25 (1998240/7841688).
[19:41:48:540] [Windows] [EAC Launcher] [Info] Current progress: 26 (2096544/7841688).
[19:41:48:540] [Windows] [EAC Launcher] [Info] Current progress: 26 (2096544/7841688).
[19:41:48:543] [Windows] [EAC Launcher] [Info] Current progress: 28 (2244000/7841688).
[19:41:48:543] [Windows] [EAC Launcher] [Info] Current progress: 28 (2244000/7841688).
[19:41:48:551] [Windows] [EAC Launcher] [Info] Current progress: 31 (2473376/7841688).
[19:41:48:551] [Windows] [EAC Launcher] [Info] Current progress: 31 (2473376/7841688).
[19:41:48:552] [Windows] [EAC Launcher] [Info] Current progress: 31 (2506144/7841688).
[19:41:48:552] [Windows] [EAC Launcher] [Info] Current progress: 31 (2506144/7841688).
[19:41:48:556] [Windows] [EAC Launcher] [Info] Current progress: 35 (2751904/7841688).
[19:41:48:556] [Windows] [EAC Launcher] [Info] Current progress: 35 (2751904/7841688).
[19:41:48:559] [Windows] [EAC Launcher] [Info] Current progress: 35 (2801056/7841688).
[19:41:48:559] [Windows] [EAC Launcher] [Info] Current progress: 35 (2801056/7841688).
[19:41:48:562] [Windows] [EAC Launcher] [Info] Current progress: 37 (2948512/7841688).
[19:41:48:562] [Windows] [EAC Launcher] [Info] Current progress: 37 (2948512/7841688).
[19:41:48:565] [Windows] [EAC Launcher] [Info] Current progress: 39 (3128736/7841688).
[19:41:48:565] [Windows] [EAC Launcher] [Info] Current progress: 39 (3128736/7841688).
[19:41:48:568] [Windows] [EAC Launcher] [Info] Current progress: 40 (3145120/7841688).
[19:41:48:568] [Windows] [EAC Launcher] [Info] Current progress: 40 (3145120/7841688).
[19:41:48:571] [Windows] [EAC Launcher] [Info] Current progress: 43 (3440032/7841688).
[19:41:48:571] [Windows] [EAC Launcher] [Info] Current progress: 43 (3440032/7841688).
[19:41:48:574] [Windows] [EAC Launcher] [Info] Current progress: 45 (3554720/7841688).
[19:41:48:574] [Windows] [EAC Launcher] [Info] Current progress: 45 (3554720/7841688).
[19:41:48:578] [Windows] [EAC Launcher] [Info] Current progress: 45 (3603872/7841688).
[19:41:48:578] [Windows] [EAC Launcher] [Info] Current progress: 45 (3603872/7841688).
[19:41:48:708] [Windows] [EAC Launcher] [Info] Current progress: 46 (3620256/7841688).
[19:41:48:709] [Windows] [EAC Launcher] [Info] Current progress: 46 (3620256/7841688).
[19:41:48:711] [Windows] [EAC Launcher] [Info] Current progress: 47 (3718560/7841688).
[19:41:48:711] [Windows] [EAC Launcher] [Info] Current progress: 47 (3718560/7841688).
[19:41:48:714] [Windows] [EAC Launcher] [Info] Current progress: 49 (3866016/7841688).
[19:41:48:714] [Windows] [EAC Launcher] [Info] Current progress: 49 (3866016/7841688).
[19:41:48:714] [Windows] [EAC Launcher] [Info] Current progress: 49 (3898784/7841688).
[19:41:48:714] [Windows] [EAC Launcher] [Info] Current progress: 49 (3898784/7841688).
[19:41:48:718] [Windows] [EAC Launcher] [Info] Current progress: 50 (3931552/7841688).
